Class Name,Source,Target
au.com.cgu.cudosui.sample.clean.service.ui.flow.mapper.drexpolicy.policy.to.drex.answerloader.answerers.text.TextLoadingAnswerer,11,0
au.com.cgu.cudosui.sample.clean.service.ui.headless.core.input.ceetransaction.CeeTransactionHeadlessOperationCreator,14,1
au.com.cgu.drex.model.workflow.fixtures.WorkflowMapTestDataCreator,29,30
au.com.cgu.cudosui.sample.clean.model.ui.flow.main.customitem.premium.summary.comparepolicybuilder.RisksHolder,0,12
au.com.cgu.cudosui.sample.clean.model.ui.flow.main.customitem.premium.summary.PremiumSummaryInspector,20,2
au.com.cgu.cudosui.sample.clean.service.ui.flow.main.interaction.toppanel.clauses.mapper.note.to.clause.creator.SystemClauseFromNoteCreator,15,0
au.com.cgu.cudosui.sample.clean.service.ui.flow.data.getter.workflowmap.context.ContextPolicyGetter,7,128
au.com.cgu.cudosui.sample.clean.web.ui.flow.main.nongui.sunrise.operation.renewal.RenewalReviewSunriseNotificationHandler,15,0
au.com.cgu.cudosui.sample.clean.model.ui.flow.main.nongui.transaction.request.generator.populator.PopulatorContext,3,22
au.com.cgu.cudosui.sample.clean.model.common.policy.structure.adapter.i90.enums.I90QuoteStatus,0,31
au.com.cgu.cudosui.sample.clean.model.ui.flow.main.customitem.premium.summary.comparepolicybuilder.RiskHolder,3,13
au.com.cgu.cudos.offeringmanager.service.offering.inheritance.resolver.structure.AbstractFinder,0,53
au.com.cgu.cudosui.sample.clean.service.ui.policy.bne.BneDataCreator,2,14
au.com.cgu.cudosui.sample.clean.service.ui.flow.main.customitem.offering.selector.creators.WorkflowMapCreator,41,2
au.com.cgu.drex.model.workflow.repeatability.DataInitModeConfiguration,0,15
au.com.cgu.cudosui.sample.clean.service.ui.flow.answerprocessor.numeric.NumericCompareAnsweringProcessor,24,0
au.com.cgu.cudos.offeringmanager.service.validation.units.movetooffering.AnchorsExistInDestinationValidationUnit,13,0
au.com.cgu.drex.model.workflow.question.expression.shuntingyard.OperatorProcessor,11,0
au.com.cgu.cudosui.sample.clean.service.ui.flow.main.nongui.cee.operation.transaction.request.generator.assembler.structure.location.common.LocationVerifier,11,6
au.com.cgu.drex.web.interaction.InteractionControllerTest,26,0
au.com.cgu.cudosui.sample.clean.service.ui.flow.main.nongui.document.content.BaseSummaryCreator,15,0
au.com.cgu.drex.service.crud.WorkflowMapDependencyInjectorTest,14,0
au.com.cgu.cudosui.sample.clean.service.ui.flow.mapper.drexpolicy.drex.to.policy.policycreator.structurecreator.sequence.common.VariableQuestionSequenceSetter,3,12
au.com.cgu.cudosui.sample.clean.web.ui.flow.main.nongui.cee.operation.transaction.submitter.SaveCancellationHandler,18,0
au.com.cgu.cudosui.sample.clean.model.ui.correspondence.policy.template.CorrespondenceTemplate,4,12
au.com.cgu.cudosui.sample.clean.web.ui.flow.main.interaction.staffpanel.correspondence.common.CorrespondenceUserNameManager,4,11
au.com.cgu.cudosui.sample.clean.service.ui.flow.visibility.rule.runner.cxrule.CxRuleShowHideDelegate,19,2
au.com.cgu.cudosui.sample.clean.model.common.policy.structure.adapter.i90.enums.I90TransactionType,0,60
au.com.cgu.drex.service.flow.inspector.finder.question.QuestionLocator,8,16
au.com.cgu.cudosui.sample.clean.service.ui.flow.main.nongui.cee.operation.transaction.request.generator.assembler.operation.ResumeAndSaveRequestAssembler,1,11
au.com.cgu.drex.web.interaction.JsonResponseConstants.JSON_VIEW,0,22
au.com.cgu.cudosui.sample.clean.service.ui.flow.main.interaction.staffpanel.notes.PolicyNoteManager,15,1
au.com.cgu.cudosui.sample.clean.service.common.document.generate.finance.statement.IntermediaryStatementGenerator,12,0
au.com.cgu.cudosui.sample.clean.service.sunrise.riskdata.handler.TextRiskDataHandler,11,0
au.com.cgu.drex.model.workflow.crud.AnswerLoadingOperation,1,18
au.com.cgu.cudosui.sample.clean.service.ui.flow.common.cee.operation.TransactionRequestDispatcher,11,6
au.com.cgu.cudosui.sample.clean.service.common.policy.deepcopy.PolicyDeepCopyCreatorTest,11,0
au.com.cgu.cudosui.sample.clean.web.ui.flow.main.nongui.wimpreplicator.WimpTransactionReplicatorHandler,15,0
au.com.cgu.cudosui.sample.clean.service.ui.flow.main.nongui.cee.operation.transaction.request.generator.assembler.operation.fixture.premiumclass.PremiumClassLocator,6,13
au.com.cgu.cudosui.sample.clean.service.ui.flow.initialisation.policy.operation.initialiser.OperationInitialiser,4,48
au.com.cgu.cudosui.sample.clean.service.ui.correspondence.policy.request.policy.financials.instalments.InstalmentPopulator,11,0
au.com.cgu.cudos.thirdparty.bpm.BpmInterface,0,13
au.com.cgu.cudos.offeringmanager.model.offering.cx.rule.covers.CoverRuleHolder,1,18
au.com.cgu.cudosui.sample.clean.service.common.policy.initialisation.RenewalStateInspectorCreator,15,1
au.com.cgu.object.manager.service.ObjectFieldSetter,2,15
au.com.cgu.drex.model.workflow.question.expression.ExpressionEvaluator,13,6
au.com.cgu.cudosui.sample.clean.model.ui.policy.structure.payment.Payment,5,17
au.com.cgu.cudosui.sample.clean.service.common.flow.initialisation.policy.replication.cleaner.PolicyForReplicationCleanerTest,18,0
au.com.cgu.cudosui.sample.clean.model.ui.policy.structure.common.address.Address,0,27
au.com.cgu.cudosui.sample.clean.service.ui.flow.main.nongui.premium.rating.RatingEngineProxy,12,0
au.com.cgu.cudosui.sample.clean.service.ui.flow.main.nongui.policy.consolidation.premium.PricingInteractionDeterminer,16,1
au.com.cgu.drexisl.model.structure.question.QuestionInsurancePayload,4,19
au.com.cgu.cudosui.sample.clean.service.ui.flow.main.nongui.cee.operation.transaction.dispatcher.AbstractShortFormDispatcher,12,0
