Call Tree,Time (ms),Own Time (ms),Level
SchemaReaderImpl.java:138 org.ow2.easywsdl.schema.impl.SchemaReaderImpl.read(InputSource),280,0,49
SchemaReaderImpl.java:154 org.ow2.easywsdl.schema.impl.SchemaReaderImpl.readSchema(InputSource:Map:boolean),280,0,50
SchemaReaderImpl.java:244 org.ow2.easywsdl.schema.impl.SchemaImpl.<init>(URI:Schema:NamespaceMapperImpl:SchemaLocatorImpl:Map:Map:SchemaReaderImpl),265,0,51
SchemaImpl.java:121 org.ow2.easywsdl.schema.impl.ComplexTypeImpl.<init>(ComplexType:AbstractSchemaElementImpl),202,0,52
ComplexTypeImpl.java:97 org.ow2.easywsdl.schema.impl.SimpleContentImpl.<init>(SimpleContent:AbstractSchemaElementImpl),187,0,53
SimpleContentImpl.java:56 org.ow2.easywsdl.schema.impl.ExtensionImpl.<init>(ExtensionType:AbstractSchemaElementImpl),187,0,54
ExtensionImpl.java:57 org.ow2.easywsdl.schema.api.abstractElmt.AbstractSchemaImpl.getType(QName),187,0,55
AbstractSchemaImpl.java:231 org.ow2.easywsdl.schema.SchemaFactory.getDefaultSchema(),187,0,56
SchemaFactory.java:108 org.ow2.easywsdl.schema.DefaultSchemaImpl.<clinit>(),187,0,57
DefaultSchemaImpl.java:71 org.ow2.easywsdl.schema.impl.SchemaReaderImpl.read(URL),187,0,58
SchemaReaderImpl.java:138 org.ow2.easywsdl.schema.impl.SchemaReaderImpl.read(InputSource),187,0,59
SchemaReaderImpl.java:154 org.ow2.easywsdl.schema.impl.SchemaReaderImpl.readSchema(InputSource:Map:boolean),187,0,60
SchemaReaderImpl.java:240 com.sun.xml.bind.v2.runtime.unmarshaller.UnmarshallerImpl.unmarshal(Source:Class),171,31,61
AbstractSAXParser.java:501 org.ow2.easywsdl.schema.util.EasyXMLFilter.startElement(String:String:String:Attributes),140,0,62
EasyXMLFilter.java:40 org.xml.sax.helpers.XMLFilterImpl.startElement(String:String:String:Attributes),140,140,63
SchemaReaderImpl.java:244 org.ow2.easywsdl.schema.impl.SchemaImpl.<init>(URI:Schema:NamespaceMapperImpl:SchemaLocatorImpl:Map:Map:SchemaReaderImpl),15,0,61
SchemaImpl.java:121 org.ow2.easywsdl.schema.impl.ComplexTypeImpl.<init>(ComplexType:AbstractSchemaElementImpl),15,0,62
ComplexTypeImpl.java:92 org.apache.catalina.loader.WebappClassLoader.loadClass(String),15,15,63
ComplexTypeImpl.java:97 org.apache.catalina.loader.WebappClassLoader.loadClass(String),15,15,53
SchemaImpl.java:115 org.apache.catalina.loader.WebappClassLoader.loadClass(String),31,31,52
SchemaImpl.java:130 org.ow2.easywsdl.schema.impl.ElementImpl.<init>(Element:AbstractSchemaElementImpl),31,0,52
ElementImpl.java:66 org.ow2.easywsdl.schema.impl.ElementImpl.findType(),31,0,53
ElementImpl.java:78 org.ow2.easywsdl.schema.api.abstractElmt.AbstractSchemaImpl.getType(QName),31,0,54
AbstractSchemaImpl.java:225 org.ow2.easywsdl.schema.impl.ComplexTypeImpl.getQName(),31,31,55
ComplexTypeImpl.java:103,31,31,56
SchemaReaderImpl.java:240 com.sun.xml.bind.v2.runtime.unmarshaller.UnmarshallerImpl.unmarshal(Source:Class),15,0,51
AbstractSAXParser.java:501 org.ow2.easywsdl.schema.util.EasyXMLFilter.startElement(String:String:String:Attributes),15,0,52
EasyXMLFilter.java:40 org.xml.sax.helpers.XMLFilterImpl.startElement(String:String:String:Attributes),15,15,53
DescriptionImpl.java:145 org.ow2.easywsdl.wsdl.impl.wsdl11.TypesImpl.<init>(TTypes:DescriptionImpl:Map:WSDLReaderImpl),93,0,47
TypesImpl.java:132 org.ow2.easywsdl.schema.impl.SchemaImpl.<init>(URI:Schema:NamespaceMapperImpl:SchemaLocatorImpl:Map:Map:SchemaReaderImpl),93,0,48
SchemaImpl.java:121 org.ow2.easywsdl.schema.impl.ComplexTypeImpl.<init>(ComplexType:AbstractSchemaElementImpl),93,0,49
ComplexTypeImpl.java:92 org.ow2.easywsdl.schema.impl.ComplexContentImpl.<init>(ComplexContent:AbstractSchemaElementImpl),93,0,50
ComplexContentImpl.java:56 org.ow2.easywsdl.schema.impl.ExtensionImpl.<init>(ExtensionType:AbstractSchemaElementImpl),93,0,51
ExtensionImpl.java:62 org.ow2.easywsdl.schema.impl.SequenceImpl.<init>(ExplicitGroup:AbstractSchemaElementImpl),93,0,52
SequenceImpl.java:58 org.ow2.easywsdl.schema.impl.ElementImpl.<init>(Element:AbstractSchemaElementImpl),93,0,53
ElementImpl.java:66 org.ow2.easywsdl.schema.impl.ElementImpl.findType(),93,15,54
ElementImpl.java:80 org.ow2.easywsdl.schema.DefaultSchemaImpl.getType(QName),46,46,55
DefaultSchemaImpl.java:121,46,46,56
ElementImpl.java:78 org.ow2.easywsdl.schema.api.abstractElmt.AbstractSchemaImpl.getType(QName),31,0,55
AbstractSchemaImpl.java:232 org.ow2.easywsdl.schema.DefaultSchemaImpl.getTypes(),15,0,56
DefaultSchemaImpl.java:115 org.ow2.easywsdl.schema.api.abstractElmt.AbstractSchemaImpl.getTypes(),15,15,57
AbstractSchemaImpl.java:209,15,15,58
AbstractSchemaImpl.java:234 org.ow2.easywsdl.schema.impl.ComplexTypeImpl.getQName(),15,15,56
ComplexTypeImpl.java:104,15,15,57
ElementImpl.java:79,15,15,55
DescriptionImpl.java:206 org.ow2.easywsdl.wsdl.impl.wsdl11.BindingImpl.<init>(TBinding:DescriptionImpl),46,0,47
BindingImpl.java:74 org.ow2.easywsdl.wsdl.impl.wsdl11.BindingOperationImpl.<init>(TBindingOperation:BindingImpl),31,0,48
BindingOperationImpl.java:92 org.ow2.easywsdl.wsdl.impl.wsdl11.BindingFaultImpl.<init>(TBindingOperationFault:BindingOperationImpl),31,0,49
BindingFaultImpl.java:69 org.ow2.easywsdl.wsdl.api.abstractElmt.AbstractBindingParamImpl.extractBindingProtocol(List:AbstractBindingParamImpl),31,0,50
AbstractBindingParamImpl.java:177 org.ow2.easywsdl.wsdl.impl.wsdl11.binding.soap.soap11.SOAP11BindingImpl.<init>(List:TBody:TFault:AbstractWSDLElementImpl),31,0,51
SOAP11BindingImpl.java:74 org.apache.catalina.loader.WebappClassLoader.loadClass(String),31,31,52
BindingImpl.java:74 org.apache.catalina.loader.WebappClassLoader.loadClass(String),15,15,48
DescriptionImpl.java:171 org.ow2.easywsdl.wsdl.impl.wsdl11.DescriptionImpl.findAllMessages(AbsItfDescription),31,0,47
DescriptionImpl.java:307 org.apache.catalina.loader.WebappClassLoader.loadClass(String),31,31,48
DescriptionImpl.java:177 org.ow2.easywsdl.wsdl.impl.wsdl11.InterfaceTypeImpl.<init>(TPortType:DescriptionImpl),15,0,47
InterfaceTypeImpl.java:65 org.apache.catalina.loader.WebappClassLoader.loadClass(String),15,15,48
DescriptionImpl.java:103,15,15,47
WSDLReaderImpl.java:176 com.sun.xml.bind.v2.runtime.unmarshaller.UnmarshallerImpl.unmarshal(Source:Class),208,161,46
